"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"381"	712	238	29	139	158	97	138
"382"	714	377	19	307	192	192	187
"383"	713	348	23	151	67	131	107
"384"	2048	919	208	1590	12314	10443	7503
"385"	100422914	0	0	0	0	0	0
"386"	646262	0	0	0	0	2	0
"387"	729059	9	0	4	6	5	5
"388"	23028	2294	507	2808	13327	13102	15527
"389"	100422866	0	0	0	1	1	1
"390"	7798	5789	771	9113	2862	2448	2565
"391"	3352	83	4	85	31	84	21
"392"	10236	5990	1517	3539	26463	20780	28542
"393"	80818	1820	324	1494	11361	6248	9962
"394"	148898	510	135	344	627	836	1065
"395"	6920	73	78	94	65	58	87
"396"	55616	1078	556	909	653	1123	1039
"397"	1870	8	4	2	51	1020	679
"398"	3399	754	1218	677	867	511	547
"399"	259283	2	1	0	0	0	0
"400"	729856	0	0	0	0	0	0
"401"	6135	4290	3238	2768	22130	26314	23966
"402"	6924	1460	471	1541	6429	5316	7019
"403"	100506963	31	8	15	74	70	63
"404"	57095	8993	1276	8983	7347	4896	6434
"405"	11313	996	333	1181	2007	1569	2053
"406"	2582	788	186	750	1268	1053	1352
"407"	3155	804	368	450	284	282	501
"408"	2517	652	144	376	1247	806	1027
"409"	1269	0	0	0	2	0	2
"410"	55629	2321	682	1649	3494	2863	3922
"411"	10772	1764	503	960	7009	6216	7786
"412"	127294	0	0	8	0	0	1
"413"	58985	0	0	3	0	0	3
"414"	163702	63	37	103	9	11	24
"415"	284632	0	0	4	0	0	0
"416"	57822	5	2	12	6	4	2
"417"	90529	1489	213	1821	775	383	298
"418"	57185	10611	1289	11581	1497	1525	1958
"419"	11123	104	30	61	880	352	454
"420"	100506985	186	46	131	1499	516	910
"421"	400746	16	0	0	2	0	16
"422"	10250	4587	886	3164	7161	7668	8061
"423"	25932	8399	3347	2143	14690	12996	16393
"424"	864	33	124	58	4	9	20
"425"	25949	1534	740	882	2650	2165	3563
"426"	57035	3210	1110	3088	5958	5666	5562
"427"	6007	66	29	69	141	111	181
"428"	23585	5018	1292	3339	11927	6538	8184
"429"	6006	84	13	72	31	23	28
"430"	55219	2218	351	1840	12040	9846	12628
"431"	26119	1485	286	586	239	241	240
"432"	57134	2672	336	4686	2255	1291	1318
"433"	100507013	0	2	6	13	7	6
"434"	57190	4905	2911	6181	11435	13480	12865
"435"	56181	4275	1405	3108	5586	4101	5630
"436"	646471	689	88	955	1328	1002	1314
"437"	79000	103	20	267	128	130	206
"438"	164091	1138	357	1272	2431	965	2077
"439"	3925	47035	3899	21169	232445	121575	206910
"440"	5051	492	232	289	299	323	475
