Geneid	alignments
644591	58
728833	166
647135	3713
728841	2382
728855	702
730256	66
653505	4
728875	592
767846	206
400818	1308
653513	771
9659	34015
100505971	573
9554	4405
440672	11613
388677	438
100132406	2605
100505987	118
148738	13
10628	9334
84265	1552
284615	2373
128077	1841
9939	3336
114814	6575
8799	3514
8515	557
148741	262
10401	3040
200035	286
10623	1696
27246	1745
11126	418
5174	208
653519	650
728932	375
728939	174
26864	1
200030	2595
100506011	38
100506032	2851
100505723	0
100505752	98
149013	3620
100505770	676
728989	365
5565	16438
100505794	897
171423	9633
2330	240
9557	912
100289211	0
607	17691
51205	252
2702	347
2703	0
51463	556
100312957	4
728912	1394
100505824	27
284561	107
100132057	162
100505885	68
388685	377
100132999	135
164022	0
25832	1618
729086	3030
645142	7
100288142	6412
284565	3124
730262	4
728936	2036
728945	6
642691	7
645166	512
26863	22
388692	1678
645262	4
100132417	26
100507552	98
653598	2
642441	249
100288037	24
644634	91
440689	243
2209	34
653604	31
8370	382
126961	143
8337	219
100132909	1726
337873	263
723790	240
333932	126
554313	290
8349	2861
8338	16
317772	3
51027	581
100507640	0
9900	32441
10262	2272
10903	252
56957	1368
11311	4610
51177	6060
81611	2110
23632	119
51107	7377
79630	95
148523	262
54460	5317
9129	3569
23248	12966
80222	1614
1893	553
54507	222
100422997	8
4170	20797
2029	16180
55204	1261
84072	3
1520	187
1513	488
100289153	0
405	3442
9869	6420
29956	3429
8416	689
55793	1523
58497	3896
149428	35
54964	608
56882	8204
10962	76269
126626	545
10500	9698
79626	57
388695	2827
79005	1231
29765	207
6944	6129
8394	4546
5710	3738
100507670	51
57592	1953
5298	5554
5993	2215
100505481	32
8991	148
100505497	15
5692	3274
23126	26894
100505516	244
57530	1019
7286	1432
693139	7
81609	15457
11189	44007
284485	92
65005	1750
51686	264
11022	2903
339398	4
6097	0
100191040	9
100132111	34
284486	29
100505537	57
117145	434
6281	517
6282	235
100131107	0
126637	0
7062	181
126638	0
388697	67
2312	3664
339400	1152
388698	34
49860	0
254910	3
54544	0
353145	0
84648	0
353144	0
353143	0
353142	0
353141	0
353140	0
26239	0
353139	0
199834	0
100129271	1
448834	0
353137	0
353135	0
353134	0
353133	0
353132	0
353131	0
448835	0
4184	0
3713	0
163778	2
6698	0
6707	0
6699	1
6703	47
6700	8
6701	1
6704	5
6705	0
6702	0
6706	12
149018	2
4014	108
114771	0
57115	0
6280	6
6283	0
6279	7
338324	0
645922	0
6278	0
100505623	4
6277	591
6276	0
6275	27
6274	0
6273	0
140576	446
57402	2
6284	162
6271	11
26097	6234
23557	1497
3608	9764
4881	99
65123	7767
11000	2012
343052	22
57459	22448
9909	6106
200186	1975
27173	2681
148327	423
10899	3523
5872	552
6232	2217
91181	119
7170	23183
100126346	0
388701	3
25912	9347
9898	12435
10456	1836
89872	3
57198	5015
3570	143
126669	528
126668	42
55585	6485
1141	10139
103	29627
3782	393
10654	2757
57326	975
90780	4710
6464	1394
1163	181
100423020	0
80308	2194
55891	5
51043	110
127579	34
149095	21
100505666	61
8751	1680
1945	40
1944	3789
1942	411
55974	616
54344	288
200185	734
80128	9610
4582	71
693235	2
7059	1732
100129268	176
4580	796
2630	1037
2629	1323
10712	2740
10067	3273
1196	1924
57657	8554
5313	7
2224	5285
284618	412
23623	19901
55870	22719
693140	3
645682	13
645676	277
55154	2182
55249	8127
7818	3606
100505728	152
100129405	1497
54856	7629
23208	48795
6016	2913
22889	6060
677823	7
677771	11
339403	12
9181	11465
6746	7152
56893	12348
28956	1247
57111	52
92312	34941
4000	2421
64218	4000
9673	5798
11243	1680
632	148
79957	890
23381	8406
84283	331
112770	573
391104	34
7203	13760
100505747	257
128229	69
57127	5
10485	8299
100505765	4061
407046	7
4209	8745
128239	157
164118	1
128240	1267
54865	3136
60484	266
63827	2913
10763	13618
1382	566
81875	3303
51093	895
79590	1503
3068	13295
5546	6378
9047	67
4914	18
3645	109
375033	480
149499	56
9826	11879
768220	11
440695	28
2117	992
360155	12
83416	0
83417	0
115352	4
79368	0
115350	2
922	0
55243	1766
100505785	10
646268	0
912	109
100505799	8
909	0
911	4
910	1
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	20
81448	0
391114	0
128371	0
128372	0
81442	0
4332	46
646377	0
149628	4
3428	1107
9447	654
57863	29188
100131825	428
2532	673
2205	9
441911	4
26476	0
127385	0
325	0
1401	8
54935	1024
343413	8
56833	579
284677	1263
391123	20
25790	5
8407	1394
57549	3617
89886	1
100505633	24
93183	2790
3766	339
3765	3004
93185	9484
477	11103
480	40
844	47
8682	28061
50717	6635
100505686	3090
100287049	1
100505665	140
5824	2563
1314	15162
474338	5500
23385	3591
4807	100
57216	21436
114836	0
8832	93
6504	2
962	3
57823	1
4063	0
51744	0
55600	0
142683	1
50848	2415
100131187	780
7391	5218
257106	61
81607	3
126823	115
5202	3562
4817	1174
9191	3206
51506	4540
27005	3071
5498	1756
8703	3826
9507	157
4720	5282
2207	36
336	0
84134	2758
9970	298
654790	261
4359	255
6391	4334
257177	1143
100505703	85
2212	62
3310	23
2214	86
9103	1
3311	3
2215	3
2213	1
641311	911
84824	8
127943	106
11266	2566
22926	1913
25903	578
9722	3719
693141	3
284680	157
400793	874
117157	0
127933	6831
6675	2778
4921	407
51478	931
339512	0
100287509	0
5999	339
8490	3640
100505773	23
83540	92
5087	87379
100505795	16
4009	0
100505805	0
6258	215
400794	0
440699	0
4259	2767
100505828	423
223	3755
54499	5927
100147773	108
7371	2249
149297	1535
100126349	0
116123	0
57645	17513
117143	3875
100505860	324
387597	276
84944	30
10223	1
92235	33
5451	590
919	39
8804	3502
92241	625
100128751	4
9019	19436
55811	48
25874	3608
55827	6539
100313835	0
100329108	2127
23432	9437
261726	11219
375035	482
84832	1493
100505900	1432
9095	144
693142	0
100505918	0
6846	0
6375	4
1805	9
79100	3
481	35271
29922	1084
8548	1310
57821	937
10560	2743
2153	53
6403	8
6402	19
6401	23
92342	469
55732	485
57147	1473
22920	22398
149281	173
100422839	0
100423010	0
284688	2
92344	1327
5396	698
100127910	9
80133	2
646804	95
2328	3
100302178	0
388714	0
2327	4
2326	176
2329	32
7151	3434
23215	21637
4653	7
8674	4610
51603	3139
26052	31119
406996	1
100422882	0
406977	4
100505991	171
92346	1
5279	1735
51430	6767
356	0
8995	1
7292	97
100506023	57
646870	973
9588	2321
284525	183
339416	2622
27252	3037
91687	500
55157	1517
100506046	259
60674	1551
26769	62
26802	163
26774	305
26770	131
692198	25
26806	68
692197	30
692196	76
692195	11
619498	10
84614	946
462	53
149041	8506
9910	1737
9293	59
100506087	11282
27101	6787
100506117	1242
63931	1595
63923	185
9674	115
7143	9615
64326	2986
677679	4
60676	1414
460	25615
574441	0
57795	2717
100506128	14
89866	198
730102	207
100302401	134
9462	12516
400797	0
84066	0
400798	915
55103	7753
9068	77
9917	13703
64222	2268
27	15328
6646	1174
126859	10
7827	6
163589	95
100506206	2
148753	63
100506230	382
163590	3805
26092	2718
9857	13584
5768	3541
100506242	33
200058	715
89884	426
84320	1973
100423032	0
9213	84814
57710	574
10228	14981
3140	83
51278	2771
777	28222
127665	20
2752	14841
127670	49
388719	4
353299	4
6041	366
6004	153
284648	2
85397	254
80896	95
1660	21387
81626	1
3915	5984
3918	134
23057	46320
100506298	83
9887	13647
4688	40
10092	21671
100292409	79
23179	11196
403314	19
23127	5301
116461	2082
81563	19711
80267	11661
100506336	0
116496	292
6045	10123
81627	2186
54823	1945
10625	27601
100288079	3
83872	437
10216	72
7175	12838
54953	1945
10896	84
5132	77
5743	106
5321	54
339479	2010
440704	0
100506420	0
64407	14
431704	8
5996	36
6003	0
5997	1575
100506438	399
51377	2654
6738	3582
51022	465
79577	4296
100302163	0
8707	14142
343450	2639
3075	3113
10878	2
3078	135
10877	23
3080	0
81494	6
2165	1
259266	619
360023	12862
23418	521
163486	171
388722	19
56956	5
140609	790
127124	0
5788	98
406955	2
406995	0
2494	43
339521	53
100506512	2
23528	6798
9928	152
83479	888
23271	36355
2848	20
55765	145
647215	3
23046	122227
100506546	234
779	22
647219	179
252839	6321
91156	17
5317	28
7139	12
3898	2
100506573	0
7135	0
23612	1195
1465	1302
100506590	0
376693	20
89796	55183
100302158	0
55705	17661
149345	1708
25802	149
10440	5545
6051	1638
100506636	126
100289488	45
1999	20
9283	32
127829	13221
5778	14
148713	25
59352	45
29089	916
4660	12995
100128726	29
127833	196
10765	22043
100506696	194
641515	8
148709	13
5877	2619
59349	4102
51094	4340
51706	1500
100506747	0
92703	6092
100507405	1329
8497	6839
4656	4
134	2017
4608	7
1116	27
1118	16
100506775	8
730227	8
7832	1475
2331	429
5549	720
26254	0
493	12324
677843	19
54900	0
9877	14633
100381270	1809
6635	1161
284573	2
9580	452
55224	2767
5972	0
3814	1
127845	2
22874	10973
100506823	8
100506838	2
127841	1
84919	9248
5287	13687
4194	11574
10446	4537
100506855	109
23114	27272
6900	15661
388730	732
5929	3848
25778	7337
9911	13480
100506871	11
81788	451
55220	4849
284576	67
93273	244
100506918	370
442891	18
284577	495
5129	128
284578	99
148808	580
100506969	3621
2005	906
85414	540
64710	69552
8934	1938
254428	3838
100131354	97
148811	11
115019	0
100505630	1627
729533	145
553	12
440712	2
100505650	19
1510	1
23380	41788
9641	139
574431	18
83593	181
1939	726
8444	917
9261	1512
3586	0
29949	0
50604	0
11009	0
9214	28
5284	0
83953	0
79098	2
55432	3258
5208	2022
725	2
722	4
100129101	5
1604	181
1380	0
1378	34
1379	6
4179	7396
407026	9
407025	2
148696	10
947	1128
5362	32761
100506899	0
642587	0
406988	0
57172	752
3914	213
100422894	0
50486	94
3290	2
80342	46
148304	252
3664	26
27042	4169
255928	3401
574036	18
56256	302
55733	171
100505631	0
3756	249
55758	7009
7188	2886
84791	11
343035	0
7779	1143
4751	57
9926	19493
25896	3192
51514	228
100131205	2950
100422947	1
5525	2531
692157	6
55248	2528
29937	728
467	130
149647	0
55509	117
25936	4518
128387	1583
149643	3
642946	41
28982	2681
79805	14722
90806	4792
26750	6351
100505832	42
5629	630
56950	3339
5784	1079
1063	4722
648359	164
3776	11522
51133	8955
7399	65
2104	1172
55105	1200
128153	114
51018	3093
7042	7129
127018	983
55532	2009
728528	2
2058	15213
10380	1489
55699	5499
406997	2
406969	4
25782	6338
100302234	0
677818	0
6791	176
4139	14870
79762	5606
54996	381
64757	1271
3142	47
400804	0
11221	243
728417	166
79802	32
9015	995
100506161	122
375056	11484
64853	3016
148362	1497
400823	2
84976	1454
7100	84
55061	1482
164127	4
388743	0
824	3960
7159	4948
100506213	0
441124	235
100288102	84
100287497	130
23219	6261
8560	4791
4931	1937
100313769	7
29097	529
80232	16035
100506354	85
149111	4826
127602	444
3930	7985
55740	26244
6726	16753
2052	1280
9725	243
10637	103
29920	2179
7044	8
163859	2599
3020	5509
100506398	0
64746	6759
83881	8
286826	668
142	12077
391169	420
375057	19543
3707	1043
100506443	0
5664	1736
100506460	867
56997	1852
8476	20449
100130466	4492
339500	4289
100130093	494
65094	574
116841	4106
339501	0
7483	310
728728	123
89780	2
100506571	11
375	22052
79169	1210
100506628	177
128308	774
2987	4642
57165	156
100506642	38
200205	1800
84033	22226
81559	2032
51127	356
8290	7
92815	1629
128312	76
149603	18512
100129094	2
100169751	1
100169753	1
100169754	1
100169755	2
100169756	0
100169757	0
100169758	0
100169759	0
100169760	0
100169761	1
100169762	0
100169763	0
100169764	2
100169765	1
100169766	2
100169767	1
574029	1518
100169768	1
58480	11394
5867	2406
10638	531
126731	27082
58	209
55746	5220
23456	2954
27097	3737
9816	1866
2590	12820
79605	6975
